code,name,city,country,lat,lon
,Borj El Amri,Bordj El Amri,Tunisia,36.721339,9.943147
DJE,Zarzis,Djerba,Tunisia,33.875031,10.775461
EBM,El Borma,El Borma,Tunisia,31.704281,9.254619
SFA,Thyna,Sfax,Tunisia,34.717953,10.690972
TOE,Nefta,Tozeur,Tunisia,33.939722,8.110556
LRL,Niamtougou International,Niatougou,Togo,9.767333,1.09125
LFW,Gnassingbe Eyadema Intl,Lome,Togo,6.165611,1.254511
ANR,Deurne,Antwerp,Belgium,51.189444,4.460278
,Beauvechain,Beauvechain,Belgium,50.75861,4.768333
,Kleine Brogel,Kleine Brogel,Belgium,51.168333,5.47
BRU,Brussels Natl,Brussels,Belgium,50.901389,4.484444
,Bertrix,Bertrix,Belgium,49.891667,5.223889
CRL,Brussels South,Charleroi,Belgium,50.459197,4.453817
,Chievres Ab,Chievres,Belgium,50.575833,3.831
,Koksijde,Koksijde,Belgium,51.090278,2.652778
,Florennes,Florennes,Belgium,50.243333,4.645833
QKT,Wevelgem,Kortrijk-vevelgem,Belgium,50.817222,3.204722
LGG,Liege,Liege,Belgium,50.637417,5.443222
OST,Oostende,Ostend,Belgium,51.198889,2.862222
,Zutendaal,Zutendaal,Belgium,50.9475,5.590556
,Sint Truiden,Sint-truiden,Belgium,50.791944,5.201667
,Saint Hubert Mil,St.-hubert,Belgium,50.035833,5.404167
,Ursel,Ursel,Belgium,51.144133,3.474361
,Weelde,Weelde,Belgium,51.394783,4.960194
,Zoersel,Zoersel,Belgium,51.264722,4.753333
BBJ,Bautzen,Bautzen,Germany,51.193531,14.519747
AOC,Altenburg Nobitz,Altenburg,Germany,50.981817,12.506361
,Dessau,Dessau,Germany,51.831828,12.184033
,Eisenhuttenstadt,Eisenhuettenstadt,Germany,52.197333,14.585667
4I7,Putnam County Airport,Greencastle,United States,39.6335556,-86.8138056
,Grossenhain,Suhl,Germany,51.308111,13.554973
,Merseburg,Muehlhausen,Germany,51.363,11.940833
,Halle Oppin,Halle,Germany,51.552,12.052667
,Riesa Gohlis,Riesa,Germany,51.2935,13.356
,Rechlin Larz,Rechlin-laerz,Germany,53.306417,12.753139
,Strausberg,Strausberg,Germany,52.579978,13.915683
,Schonhagen,Schoenhagen,Germany,52.203258,13.158408
BBH,Barth,Barth,Germany,54.33754,12.699705
,Jena Schongleina,Jena,Germany,50.915161,11.714519
,Kyritz,Kyritz,Germany,52.918833,12.425333
,Magdeburg,Magdeburg,Germany,52.073658,11.626467
,Rothenburg Gorlitz,Rothenburg/ol,Germany,51.363167,14.95
,Anklam,Anklam,Germany,53.8327,13.669131
,Cottbus Drewitz,Cottbus,Germany,51.889475,14.531986
,Kamenz,Kamenz,Germany,51.29625,14.129
SXF,Schonefeld,Berlin,Germany,52.380001,13.5225
DRS,Dresden,Dresden,Germany,51.132767,13.767161
ERF,Erfurt,Erfurt,Germany,50.979811,10.958106
FRA,Frankfurt Main,Frankfurt,Germany,50.026421,8.543125
FMO,Munster Osnabruck,Munster,Germany,52.134642,7.684831
HAM,Hamburg,Hamburg,Germany,53.630389,9.988228
THF,Tempelhof,Berlin,Germany,52.473025,13.403944
CGN,Koln Bonn,Cologne,Germany,50.865917,7.142744
DUS,Dusseldorf,Duesseldorf,Germany,51.289453,6.766775
MUC,Franz Josef Strauss,Munich,Germany,48.353783,11.786086
NUE,Nurnberg,Nuernberg,Germany,49.4987,11.066897
LEJ,Leipzig Halle,Leipzig,Germany,51.432447,12.241633
SCN,Saarbrucken,Saarbruecken,Germany,49.214553,7.109508
STR,Stuttgart,Stuttgart,Germany,48.689878,9.221964
TXL,Tegel,Berlin,Germany,52.559686,13.287711
HAJ,Hannover,Hannover,Germany,52.461056,9.685078
BRE,Neuenland,Bremen,Germany,53.0475,8.786667
,Egelsbach,Egelsbach,Germany,49.960833,8.6415
HHN,Frankfurt Hahn,Hahn,Germany,49.948672,7.263892
MHG,Mannheim City,Mannheim,Germany,49.472706,8.514264
,Allendorf Eder,Allendorf,Germany,51.034878,8.680839
,Worms,Worms,Germany,49.606511,8.3684
,Mainz Finthen,Mainz,Germany,49.968931,8.148336
,Eisenach Kindel,Eisenach,Germany,50.992797,10.472711
,Siegerland,Siegerland,Germany,50.707658,8.082969
XFW,Hamburg Finkenwerder,Hamburg,Germany,53.535886,9.837025
KEL,Kiel Holtenau,Kiel,Germany,54.3795,10.145167
LBC,Lubeck Blankensee,Luebeck,Germany,53.805367,10.719222
,Dahlemer Binz,Dahlemer Binz,Germany,50.405888,6.528083
,Meinerzhagen,Meinerzhagen,Germany,51.099445,7.601944
ZCA,Arnsberg Menden,Arnsberg,Germany,51.483333,7.899333
ESS,Essen Mulheim,Essen,Germany,51.402333,6.937333
,Bielefeld,Bielefeld,Germany,51.964833,8.544833
MGL,Monchengladbach,Moenchengladbach,Germany,51.230356,6.504494
PAD,Paderborn Lippstadt,Paderborn,Germany,51.614089,8.616317
,Stadtlohn Vreden,Stadtlohn,Germany,51.995844,6.840667
DTM,Dortmund,Dortmund,Germany,51.518314,7.612242
AGB,Augsburg,Augsburg,Germany,48.425158,10.931764
,Biberach An Der Riss,Biberach,Germany,48.111,9.762833
,Eggenfelden,Eggenfelden,Germany,48.396167,12.723667
,Mindelheim Mattsies,Mindelheim,Germany,48.108833,10.524333
OBF,Oberpfaffenhofen,Oberpfaffenhofen,Germany,48.081364,11.283067
,Straubing,Straubing,Germany,48.90095,12.518186
,Vilshofen,Vilshofen,Germany,48.635167,13.195667
,Leutkirch Unterzeil,Leutkirch,Germany,47.859117,10.014572
FDH,Friedrichshafen,Friedrichshafen,Germany,47.671317,9.511486
SZW,Schwerin Parchim,Parchim,Germany,53.426997,11.783436
ZSN,Stendal Borstel,Stendal,Germany,52.627778,11.818333
,Aalen Heidenheim Elchingen,Aalen-heidenheim,Germany,48.777833,10.264667
BYU,Bayreuth,Bayreuth,Germany,49.984428,11.638569
,Burg Feuerstein,Burg Feuerstein,Germany,49.793833,11.133167
HOQ,Hof Plauen,Hof,Germany,50.288836,11.854919
,Hassfurt Schweinfurt,Hassfurt,Germany,50.018,10.5295
ZNV,Koblenz Winningen,Koblenz,Germany,50.3255,7.528667
ZQF,Trier Fohren,Trier,Germany,49.8635,6.788167
ZQC,Speyer,Speyer,Germany,49.302776,8.451195
,Zweibrucken,Zweibruecken,Germany,49.209525,7.400647
ZQL,Donaueschingen Villingen,Donaueschingen,Germany,47.973331,8.522223
,Freiburg,Freiburg,Germany,48.022653,7.832583
,Mengen Hohentengen,Mengen,Germany,48.053833,9.372833
,Schwabisch Hall,Schwaebisch Hall,Germany,49.118317,9.783956
,Finsterwalde Schacksdorf,Soest,Germany,51.6075,13.738
BWE,Braunschweig Wolfsburg,Braunschweig,Germany,52.319167,10.556111
KSF,Kassel Calden,Kassel,Germany,51.408394,9.377631
,Hildesheim,Hildesheim,Germany,52.179833,9.945667
BRV,Bremerhaven,Bremerhaven,Germany,53.507081,8.572878
EME,Emden,Emden,Germany,53.391186,7.227408
,Leer Papenburg,Leer,Germany,53.271592,7.442344
WVN,Wilhelmshaven Mariensiel,Wilhelmshaven,Germany,53.504833,8.053333
BMK,Borkum,Borkum,Germany,53.5955,6.709167
NRD,Norderney,Norderney,Germany,53.706822,7.230247
FLF,Flensburg Schaferhaus,Flensburg,Germany,54.771772,9.378214
,Rendsburg Schachtholm,Rendsburg,Germany,54.220928,9.600803
GWT,Westerland Sylt,Westerland,Germany,54.91325,8.340472
,Amari,Armari Air Force Base,Estonia,59.260286,24.208467
KDL,Kardla,Kardla,Estonia,58.990756,22.830733
URE,Kuressaare,Kuressaare,Estonia,58.229883,22.509494
EPU,Parnu,Parnu,Estonia,58.419044,24.472819
TLL,Tallinn,Tallinn-ulemiste International,Estonia,59.413317,24.832844
TAY,Tartu,Tartu,Estonia,58.307461,26.690428
ENF,Enontekio,Enontekio,Finland,68.362586,23.424322
,Eura,Eura,Finland,61.116112,22.201389
KEV,Halli,Halli,Finland,61.85605,24.7866
HEM,Helsinki Malmi,Helsinki,Finland,60.254558,25.042828
HEL,Helsinki Vantaa,Helsinki,Finland,60.317222,24.963333
,Hameenkyro,Hameenkyro,Finland,61.689656,23.073744
,Hanko,Hanko,Finland,59.848864,23.083583
HYV,Hyvinkaa,Hyvinkaa,Finland,60.654444,24.881111
,Kiikala,Kikala,Finland,60.462502,23.6525
,Immola,Immola,Finland,61.249172,28.903711
,Kitee,Kitee,Finland,62.166111,30.073611
IVL,Ivalo,Ivalo,Finland,68.607269,27.405328
JOE,Joensuu,Joensuu,Finland,62.662906,29.60755
JYV,Jyvaskyla,Jyvaskyla,Finland,62.399453,25.678253
KAU,Kauhava,Kauhava,Finland,63.127078,23.051442
