code_depart,code_arrive,passengers
SNU,MIA,3253
DCA,DEN,17288
PHL,DFW,39036
IAD,IND,4909
ORD,MBS,1827
COS,LAX,2604
LAS,ABQ,12236
PDX,LAX,25553
LIT,LAS,3506
CLE,FNT,1716
CLT,BNA,21316
ORD,ATW,3188
TYS,CLT,10695
SJU,IAH,5357
ATL,ICN,11856
LAX,CUN,9119
FLL,BUF,6104
MSY,EWR,7015
FLL,AXM,1211
DFW,CDG,4296
ORD,DBQ,2005
PDX,OGG,7473
DCA,CLE,2268
MIA,MBJ,8176
FNT,RSW,2105
MIA,HOG,1237
EWR,YOW,2734
AUS,ORD,11139
CLT,GRU,5509
ORD,SNA,17505
DFW,LIM,3958
ATL,COS,3564
CLT,LIT,5012
LAS,RNO,30655
TUS,ATL,7328
LGB,SLC,14306
FRA,ATL,10845
RSW,ATL,45751
BOS,DEN,22715
MHT,EWR,2945
SYR,CLT,8355
LAN,SFB,1406
JAX,LGA,5199
STL,DEN,25672
ORD,PVR,7533
QRO,DFW,2706
DEL,JFK,9407
SDF,DCA,3051
PUS,SPN,1696
GPT,PIE,2136
DFW,RNO,6337
HKG,SFO,38124
ATL,FSM,2606
BKG,MDW,2775
MIA,YUL,13433
IND,ORD,18277
JFK,FCO,11611
IAH,OMA,7227
CHA,PIE,1339
DAL,SAT,32768
SLC,OAK,17339
PHL,CAK,1965
MSP,AUS,5386
LAS,BWI,19016
CAN,LAX,14523
IAD,SVO,1369
ORF,MIA,2111
MCI,LGA,3788
DFW,EZE,5960
SFO,NRT,24306
YQR,LAS,1519
BUF,PHX,3816
GTR,ATL,2670
SFO,OKC,1363
ORD,CWA,3174
MSY,DEN,19910
DFW,TYR,4881
DUS,RSW,2735
DFW,STL,23784
AZA,SGF,1287
LAS,MSY,6818
BGM,DTW,1732
YUL,BOS,3125
EWR,PVG,6749
OAK,DEN,11308
IAH,EGE,2214
MDW,DSM,4688
EWR,YVR,2821
YKF,ORD,1375
IAD,IAH,11491
NAS,DCA,1081
KOA,SJC,1823
SLC,BWI,11290
MIA,LHR,47304
DFW,MGM,2537
SNA,LAS,24229
LIT,HOU,1960
FAR,ORD,5402
PHL,ORD,46179
LAX,BLI,1525
ZRH,SFO,6220
IAD,CAE,2727
CIU,DTW,1749
MCO,RIC,5352
BOS,ROC,2047
LAS,PIT,4086
AUS,HRL,1911
FPO,CLT,1120
DCA,PBI,8909
BOS,MIA,30491
IND,CLT,16258
SMX,LAS,1851
FUK,GUM,2614
DTW,AMS,19235
MKE,TPA,6764
ELP,LAX,7674
SJC,RNO,2460
DTW,PIA,1940
MDW,ILG,1192
ATL,RSW,43723
PHL,MDW,13775
ATW,MSP,3977
MUC,EWR,11461
MSP,BWI,7775
ROC,DCA,4395
LTO,LAX,1572
DEN,YXE,2513
IAH,GRK,1708
HOU,ECP,3329
MCO,HPN,7844
EWR,ORF,3777
BTR,CLT,2561
LEX,ORD,4231
JFK,ANU,2185
ICN,SEA,9960
MUC,IAD,7404
MIA,GIG,18284
MIA,SJU,33087
